fator,papel,nivel,dezena,delta100_media_aprox,p_media,p_base_media,abs_delta100_media_aprox
ano,sensibilidade,2004,13,0.1352716258499996,0.0173947417675,0.01716928905775,0.1352716258499996
ano,sensibilidade,2013,4,0.11458934999999948,0.0177224525025,0.0175314702525,0.11458934999999948
ano,sensibilidade,2004,49,0.1138509634500004,0.017150043502,0.01696029189625,0.1138509634500004
ano,sensibilidade,2024,46,0.10665685544999984,0.01773388452575,0.0175561231,0.10665685544999984
ano,sensibilidade,2024,5,-0.10417661084999932,0.0178208681005,0.01799449578525,0.10417661084999932
ano,sensibilidade,2011,51,0.10112350230000108,0.0170209284735,0.016852389303,0.10112350230000108
ano,sensibilidade,2025,15,0.09716484330000025,0.01530600852875,0.01514406712325,0.09716484330000025
ano,sensibilidade,2003,8,0.09599678729999839,0.0166316206365,0.016471625991,0.09599678729999839
ano,sensibilidade,2012,2,0.09588241694999944,0.0166118378595,0.01645203383125,0.09588241694999944
ano,sensibilidade,2019,5,-0.09289398554999939,0.017839672476,0.01799449578525,0.09289398554999939
decada_historica,principal,2010-2019,41,-0.07787625374999982,0.01702744351325,0.0171572372695,0.07787625374999982
decada_historica,principal,2000-2009,46,-0.07098811800000035,0.0174181206975,0.0175364342275,0.07098811800000035
decada_historica,principal,2020-2026,24,-0.06835797434999805,0.0165125298745,0.01662645983175,0.06835797434999805
decada_historica,principal,2010-2019,2,0.06739779075000188,0.01656515200775,0.0164528223565,0.06739779075000188
decada_historica,principal,2010-2019,10,0.06649517310000005,0.0195995743655,0.019488749077,0.06649517310000005
decada_historica,principal,2020-2026,9,0.06463869705000125,0.016193393047,0.01608566188525,0.06463869705000125
decada_historica,principal,2000-2009,10,-0.06448824285000057,0.01938126867225,0.019488749077,0.06448824285000057
decada_historica,principal,2020-2026,46,0.06025279004999856,0.01763685554425,0.0175364342275,0.06025279004999856
decada_historica,principal,2000-2009,35,-0.05816075385000133,0.01733469674375,0.0174316313335,0.05816075385000133
decada_historica,principal,2010-2019,11,0.056979742650001275,0.0173971757335,0.01730220949575,0.056979742650001275
dia_semana,principal,sabado,42,0.07769584890000153,0.01777187647025,0.01764238338875,0.07769584890000153
dia_semana,principal,quarta,10,0.061112944199998714,0.01962128479925,0.01951942989225,0.061112944199998714
dia_semana,principal,quarta,54,-0.059432738399998325,0.01712752985025,0.01722658441425,0.059432738399998325
dia_semana,principal,sabado,2,-0.05892808245000075,0.0163848660355,0.01648307950625,0.05892808245000075
dia_semana,principal,sabado,10,-0.05842272660000064,0.01942205868125,0.01951942989225,0.05842272660000064
dia_semana,principal,quarta,46,-0.05399742420000159,0.01747099996275,0.01756099566975,0.05399742420000159
dia_semana,principal,quarta,40,-0.05130851939999931,0.0156926493985,0.0157781635975,0.05130851939999931
dia_semana,principal,sabado,56,-0.050739863700000054,0.01738045217525,0.01746501861475,0.050739863700000054
dia_semana,principal,sabado,19,-0.04926168120000102,0.01615466724775,0.01623677004975,0.04926168120000102
dia_semana,principal,quarta,42,-0.04859562764999992,0.017561390676,0.01764238338875,0.04859562764999992
faixa_temporal,principal,2020-2024,24,-0.11225861369999965,0.0164578877555,0.016644985445,0.11225861369999965
faixa_temporal,principal,2010-2014,2,0.10239962670000047,0.01661978229825,0.01644911625375,0.10239962670000047
faixa_temporal,principal,2010-2014,37,-0.09696532890000123,0.017924245345,0.0180858542265,0.09696532890000123
faixa_temporal,principal,2015-2019,49,-0.09535779420000098,0.0167928926895,0.0169518223465,0.09535779420000098
faixa_temporal,principal,2005-2009,13,-0.09529827074999872,0.0170293036155,0.01718813406675,0.09529827074999872
