migration_route,group_id
Afghanistan to Iran,1
Bay of Bengal/Andaman Sea,2
Belarus-EU border,3
Caribbean to Central America,4
Caribbean to US,5
Central Mediterranean,6
DRC to Uganda,7
Darien,8
Dominican Republic to Puerto Rico,9
Eastern Mediterranean,10
Eastern Route to/from EHOA,11
Haiti to Dominican Republic,12
Horn of Africa Route,13
Iran to Türkiye,14
Italy to France,15
Mainland Europe to the UK,16
Naf River crossing,17
Northern Route from EHOA,18
Route to Southern Africa,19
Sahara Desert crossing,20
Sea crossings to Mayotte,21
Syria to Türkiye,22
Türkiye-Europe land route,23
US-Mexico border crossing,24
Ukraine to Europe,25
Unknown/Not reported,26
Venezuela to Caribbean,27
Western Africa / Atlantic route to the Canary Islands,28
Western Balkans,29
Western Mediterranean,30
