"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"201201";"1º trimestre 2012";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"201201";"1º trimestre 2012";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,4"
"201201";"1º trimestre 2012";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"201202";"2º trimestre 2012";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,1"
"201202";"2º trimestre 2012";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,5"
"201202";"2º trimestre 2012";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"201203";"3º trimestre 2012";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,7"
"201203";"3º trimestre 2012";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,0"
"201203";"3º trimestre 2012";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,1"
"201204";"4º trimestre 2012";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,7"
"201204";"4º trimestre 2012";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,5"
"201204";"4º trimestre 2012";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"201301";"1º trimestre 2013";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"201301";"1º trimestre 2013";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,2"
"201301";"1º trimestre 2013";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"201302";"2º trimestre 2013";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,0"
"201302";"2º trimestre 2013";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,5"
"201302";"2º trimestre 2013";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"201303";"3º trimestre 2013";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"201303";"3º trimestre 2013";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,8"
