ym,crime,occ,vit
2023-01,"VULNERAVEIS_E_CUIDADO",1113,888
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA",20447,21921
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO",882,903
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA",14787,11435
2023-01,"ORDEM_PUBLICA_E_OUTROS",3983,2948
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2733,51
2023-01,"FRAUDES_E_FE_PUBLICA",10187,9846
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA",971,510
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",888,47
2023-01,"PATRIMONIAIS_COM_VIOLENCIA",3709,3956
2023-01,"ARMAS_E_MUNICOES",548,154
2023-01,"LETAIS_E_VIOLENTOS",194,242
2023-01,"TRANSITO",5657,3697
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS",284,305
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO",739,753
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA",13407,10369
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17900,19132
2023-02,"FRAUDES_E_FE_PUBLICA",9197,8941
2023-02,"ORDEM_PUBLICA_E_OUTROS",3782,2940
2023-02,"ARMAS_E_MUNICOES",466,138
2023-02,"PATRIMONIAIS_COM_VIOLENCIA",3225,3438
2023-02,"TRANSITO",5506,3441
2023-02,"VULNERAVEIS_E_CUIDADO",995,798
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS",232,245
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2864,53
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",770,40
2023-02,"LETAIS_E_VIOLENTOS",184,227
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA",926,478
2023-03,"FRAUDES_E_FE_PUBLICA",10938,10534
2023-03,"VIOLENCIA_INTERPESSOAL_DOMESTICA",21504,22871
2023-03,"PATRIMONIAIS_SEM_VIOLENCIA",15150,11443
2023-03,"CRIMES_SEXUAIS_E_EXPLORACAO",905,917
2023-03,"ORDEM_PUBLICA_E_OUTROS",4371,3394
2023-03,"DROGAS_E_ORGANIZACAO_CRIMINOSA",3241,60
2023-03,"PATRIMONIAIS_COM_VIOLENCIA",3899,4153
2023-03,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1087,620
2023-03,"TRANSITO",6324,4140
2023-03,"ARMAS_E_MUNICOES",677,164
2023-03,"LETAIS_E_VIOLENTOS",228,281
2023-03,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",860,43
2023-03,"VULNERAVEIS_E_CUIDADO",1265,1013
2023-03,"DISCRIMINACAO_E_DIREITOS_HUMANOS",378,394
2023-04,"PATRIMONIAIS_SEM_VIOLENCIA",13376,10258
2023-04,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18468,19480
2023-04,"VULNERAVEIS_E_CUIDADO",1001,756
2023-04,"ORDEM_PUBLICA_E_OUTROS",3799,2843
2023-04,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2984,52
2023-04,"TRANSITO",5974,3953
2023-04,"LETAIS_E_VIOLENTOS",173,222
2023-04,"FRAUDES_E_FE_PUBLICA",9507,9262
2023-04,"PATRIMONIAIS_COM_VIOLENCIA",3678,3960
2023-04,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",717,32
2023-04,"CRIMES_SEXUAIS_E_EXPLORACAO",698,691
2023-04,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1004,581
2023-04,"ARMAS_E_MUNICOES",580,149
2023-04,"DISCRIMINACAO_E_DIREITOS_HUMANOS",270,274
2023-05,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17520,18679
2023-05,"TRANSITO",6138,4198
2023-05,"PATRIMONIAIS_SEM_VIOLENCIA",13820,10481
2023-05,"ORDEM_PUBLICA_E_OUTROS",4020,3109
2023-05,"FRAUDES_E_FE_PUBLICA",11123,10845
2023-05,"CRIMES_SEXUAIS_E_EXPLORACAO",839,873
2023-05,"ARMAS_E_MUNICOES",573,159
2023-05,"VULNERAVEIS_E_CUIDADO",1104,882
2023-05,"DROGAS_E_ORGANIZACAO_CRIMINOSA",3235,41
2023-05,"LETAIS_E_VIOLENTOS",142,188
2023-05,"PATRIMONIAIS_COM_VIOLENCIA",3934,4190
2023-05,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1031,529
2023-05,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",820,30
2023-05,"DISCRIMINACAO_E_DIREITOS_HUMANOS",281,301
2023-06,"TRANSITO",6017,4006
2023-06,"PATRIMONIAIS_SEM_VIOLENCIA",13008,9918
2023-06,"VIOLENCIA_INTERPESSOAL_DOMESTICA",16518,17568
2023-06,"FRAUDES_E_FE_PUBLICA",10279,9991
2023-06,"CRIMES_SEXUAIS_E_EXPLORACAO",727,728
2023-06,"DROGAS_E_ORGANIZACAO_CRIMINOSA",3281,46
2023-06,"PATRIMONIAIS_COM_VIOLENCIA",3293,3477
2023-06,"ORDEM_PUBLICA_E_OUTROS",3788,2993
2023-06,"ADMINISTRACAO_PUBLICA_E_JUSTICA",932,496
2023-06,"VULNERAVEIS_E_CUIDADO",980,765
2023-06,"ARMAS_E_MUNICOES",545,117
2023-06,"LETAIS_E_VIOLENTOS",165,215
2023-06,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",794,44
2023-06,"DISCRIMINACAO_E_DIREITOS_HUMANOS",299,298
2023-07,"FRAUDES_E_FE_PUBLICA",10388,10227
2023-07,"ORDEM_PUBLICA_E_OUTROS",3597,2806
2023-07,"VIOLENCIA_INTERPESSOAL_DOMESTICA",16617,17656
2023-07,"PATRIMONIAIS_SEM_VIOLENCIA",13244,10449
2023-07,"CRIMES_SEXUAIS_E_EXPLORACAO",656,646
2023-07,"DROGAS_E_ORGANIZACAO_CRIMINOSA",3157,48
2023-07,"TRANSITO",5901,3923
2023-07,"DISCRIMINACAO_E_DIREITOS_HUMANOS",228,251
2023-07,"PATRIMONIAIS_COM_VIOLENCIA",3354,3552
2023-07,"VULNERAVEIS_E_CUIDADO",1001,821
2023-07,"ARMAS_E_MUNICOES",499,134
2023-07,"ADMINISTRACAO_PUBLICA_E_JUSTICA",961,511
2023-07,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",900,48
2023-07,"LETAIS_E_VIOLENTOS",145,175
2023-08,"PATRIMONIAIS_SEM_VIOLENCIA",13884,10855
2023-08,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18114,19397
2023-08,"FRAUDES_E_FE_PUBLICA",11118,10907
2023-08,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",959,37
2023-08,"ORDEM_PUBLICA_E_OUTROS",3906,3050
2023-08,"TRANSITO",6011,4189
2023-08,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1093,544
2023-08,"ARMAS_E_MUNICOES",553,127
2023-08,"VULNERAVEIS_E_CUIDADO",1247,941
2023-08,"CRIMES_SEXUAIS_E_EXPLORACAO",745,743
2023-08,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2985,53
2023-08,"PATRIMONIAIS_COM_VIOLENCIA",3449,3627
2023-08,"DISCRIMINACAO_E_DIREITOS_HUMANOS",291,329
2023-08,"LETAIS_E_VIOLENTOS",172,205
2023-09,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17069,18244
2023-09,"ORDEM_PUBLICA_E_OUTROS",3576,2910
2023-09,"PATRIMONIAIS_SEM_VIOLENCIA",12688,10188
2023-09,"CRIMES_SEXUAIS_E_EXPLORACAO",705,699
2023-09,"VULNERAVEIS_E_CUIDADO",1046,799
2023-09,"FRAUDES_E_FE_PUBLICA",10128,9932
2023-09,"ADMINISTRACAO_PUBLICA_E_JUSTICA",988,492
2023-09,"ARMAS_E_MUNICOES",545,152
2023-09,"PATRIMONIAIS_COM_VIOLENCIA",3130,3354
2023-09,"TRANSITO",5230,3534
2023-09,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2711,33
2023-09,"LETAIS_E_VIOLENTOS",164,192
2023-09,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",729,38
2023-09,"DISCRIMINACAO_E_DIREITOS_HUMANOS",241,258
2023-10,"CRIMES_SEXUAIS_E_EXPLORACAO",768,769
2023-10,"ORDEM_PUBLICA_E_OUTROS",3989,3171
2023-10,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18205,19524
2023-10,"PATRIMONIAIS_SEM_VIOLENCIA",13877,11225
2023-10,"FRAUDES_E_FE_PUBLICA",11469,11310
2023-10,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1093,574
2023-10,"TRANSITO",5491,3875
2023-10,"VULNERAVEIS_E_CUIDADO",1160,976
2023-10,"ARMAS_E_MUNICOES",557,161
2023-10,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2793,28
2023-10,"PATRIMONIAIS_COM_VIOLENCIA",3100,3336
2023-10,"LETAIS_E_VIOLENTOS",176,211
2023-10,"DISCRIMINACAO_E_DIREITOS_HUMANOS",306,327
2023-10,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",851,42
2023-11,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18801,20107
2023-11,"FRAUDES_E_FE_PUBLICA",11527,11400
2023-11,"PATRIMONIAIS_SEM_VIOLENCIA",12696,10172
2023-11,"VULNERAVEIS_E_CUIDADO",1146,891
2023-11,"ORDEM_PUBLICA_E_OUTROS",4063,3274
2023-11,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2584,40
2023-11,"TRANSITO",5368,3779
2023-11,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",647,19
2023-11,"CRIMES_SEXUAIS_E_EXPLORACAO",799,831
2023-11,"PATRIMONIAIS_COM_VIOLENCIA",2812,3044
2023-11,"ADMINISTRACAO_PUBLICA_E_JUSTICA",977,560
2023-11,"ARMAS_E_MUNICOES",508,162
2023-11,"DISCRIMINACAO_E_DIREITOS_HUMANOS",282,305
2023-11,"LETAIS_E_VIOLENTOS",160,207
2023-12,"PATRIMONIAIS_SEM_VIOLENCIA",13027,10732
2023-12,"VULNERAVEIS_E_CUIDADO",1176,897
2023-12,"VIOLENCIA_INTERPESSOAL_DOMESTICA",20227,21816
2023-12,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2573,32
2023-12,"CRIMES_SEXUAIS_E_EXPLORACAO",831,841
2023-12,"FRAUDES_E_FE_PUBLICA",10508,10411
2023-12,"TRANSITO",6453,4545
2023-12,"ORDEM_PUBLICA_E_OUTROS",3892,3072
2023-12,"LETAIS_E_VIOLENTOS",185,223
2023-12,"PATRIMONIAIS_COM_VIOLENCIA",2743,2956
2023-12,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1127,577
2023-12,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",690,41
2023-12,"DISCRIMINACAO_E_DIREITOS_HUMANOS",303,333
2023-12,"ARMAS_E_MUNICOES",503,151
2024-01,"PATRIMONIAIS_SEM_VIOLENCIA",13332,10714
2024-01,"FRAUDES_E_FE_PUBLICA",11565,11475
2024-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA",20157,21718
2024-01,"CRIMES_SEXUAIS_E_EXPLORACAO",856,880
2024-01,"VULNERAVEIS_E_CUIDADO",1208,942
2024-01,"ORDEM_PUBLICA_E_OUTROS",4149,3358
2024-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2850,47
2024-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1073,547
2024-01,"ARMAS_E_MUNICOES",465,122
2024-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",692,39
2024-01,"TRANSITO",5480,3510
2024-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS",273,287
2024-01,"PATRIMONIAIS_COM_VIOLENCIA",2756,2999
2024-01,"LETAIS_E_VIOLENTOS",239,275
2024-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA",19584,20999
2024-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2791,46
2024-02,"ORDEM_PUBLICA_E_OUTROS",4305,3568
2024-02,"PATRIMONIAIS_SEM_VIOLENCIA",12848,10265
2024-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1140,625
2024-02,"CRIMES_SEXUAIS_E_EXPLORACAO",788,791
2024-02,"TRANSITO",5322,3539
2024-02,"FRAUDES_E_FE_PUBLICA",10861,10684
2024-02,"VULNERAVEIS_E_CUIDADO",1168,920
2024-02,"PATRIMONIAIS_COM_VIOLENCIA",2774,3017
2024-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS",279,309
2024-02,"ARMAS_E_MUNICOES",496,141
2024-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",669,56
2024-02,"LETAIS_E_VIOLENTOS",197,226
2024-03,"FRAUDES_E_FE_PUBLICA",11665,11450
2024-03,"PATRIMONIAIS_SEM_VIOLENCIA",13114,10337
2024-03,"VIOLENCIA_INTERPESSOAL_DOMESTICA",21078,22611
2024-03,"VULNERAVEIS_E_CUIDADO",1222,1021
2024-03,"PATRIMONIAIS_COM_VIOLENCIA",2787,2964
2024-03,"CRIMES_SEXUAIS_E_EXPLORACAO",834,863
2024-03,"DROGAS_E_ORGANIZACAO_CRIMINOSA",3166,28
2024-03,"ORDEM_PUBLICA_E_OUTROS",4593,3732
2024-03,"TRANSITO",6194,4354
2024-03,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1149,667
2024-03,"ARMAS_E_MUNICOES",577,118
2024-03,"LETAIS_E_VIOLENTOS",150,185
2024-03,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",690,32
2024-03,"DISCRIMINACAO_E_DIREITOS_HUMANOS",367,372
2024-04,"FRAUDES_E_FE_PUBLICA",12031,11849
2024-04,"ORDEM_PUBLICA_E_OUTROS",4577,3694
2024-04,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17734,18932
2024-04,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2855,44
2024-04,"VULNERAVEIS_E_CUIDADO",1238,980
2024-04,"PATRIMONIAIS_SEM_VIOLENCIA",11803,9366
2024-04,"DISCRIMINACAO_E_DIREITOS_HUMANOS",309,317
2024-04,"CRIMES_SEXUAIS_E_EXPLORACAO",726,705
2024-04,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1062,560
2024-04,"ARMAS_E_MUNICOES",515,105
2024-04,"PATRIMONIAIS_COM_VIOLENCIA",2677,2829
2024-04,"TRANSITO",5857,4069
2024-04,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",585,39
2024-04,"LETAIS_E_VIOLENTOS",146,177
2024-05,"PATRIMONIAIS_SEM_VIOLENCIA",9498,7673
2024-05,"VIOLENCIA_INTERPESSOAL_DOMESTICA",12890,13824
2024-05,"ORDEM_PUBLICA_E_OUTROS",3214,2647
2024-05,"FRAUDES_E_FE_PUBLICA",7330,7145
2024-05,"VULNERAVEIS_E_CUIDADO",808,688
2024-05,"TRANSITO",4034,3323
2024-05,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2102,24
2024-05,"PATRIMONIAIS_COM_VIOLENCIA",1565,1659
2024-05,"CRIMES_SEXUAIS_E_EXPLORACAO",567,562
2024-05,"ADMINISTRACAO_PUBLICA_E_JUSTICA",730,380
2024-05,"ARMAS_E_MUNICOES",377,119
2024-05,"LETAIS_E_VIOLENTOS",108,130
2024-05,"DISCRIMINACAO_E_DIREITOS_HUMANOS",177,189
2024-05,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",334,25
2024-06,"PATRIMONIAIS_SEM_VIOLENCIA",10234,8196
2024-06,"VIOLENCIA_INTERPESSOAL_DOMESTICA",16552,17748
2024-06,"ORDEM_PUBLICA_E_OUTROS",4066,3355
2024-06,"VULNERAVEIS_E_CUIDADO",1178,974
2024-06,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2994,35
2024-06,"PATRIMONIAIS_COM_VIOLENCIA",1867,1954
2024-06,"CRIMES_SEXUAIS_E_EXPLORACAO",723,741
2024-06,"TRANSITO",5698,4157
