ym,crime,sexo,faixa,occ_1_vitima
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","0-12",132
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","40-59",3741
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","0-12",229
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","40-59",2495
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","60+",934
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","40-59",440
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","0-12",102
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","13-17",169
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","25-39",4687
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","18-24",90
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","60+",1473
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","18-24",528
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","40-59",1494
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","40-59",1497
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","40-59",7
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","13-17",31
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","40-59",2392
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","13-17",155
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","0-12",41
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","25-39",2015
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","25-39",2245
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","25-39",1304
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","18-24",172
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","18-24",403
2023-01,"ARMAS_E_MUNICOES","FEMININO","25-39",24
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","40-59",579
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","13-17",50
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","18-24",26
2023-01,"ARMAS_E_MUNICOES","FEMININO","40-59",20
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","40-59",492
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","40-59",1625
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","18-24",1666
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","25-39",116
2023-01,"ARMAS_E_MUNICOES","MASCULINO","25-39",26
2023-01,"TRANSITO","FEMININO","60+",102
2023-01,"TRANSITO","FEMININO","18-24",142
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","60+",1105
2023-01,"TRANSITO","MASCULINO","40-59",571
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","25-39",520
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","18-24",641
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","13-17",293
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","18-24",427
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","60+",920
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","25-39",667
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","60+",883
2023-01,"TRANSITO","FEMININO","25-39",309
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","18-24",299
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","40-59",372
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","13-17",42
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","18-24",516
2023-01,"TRANSITO","MASCULINO","60+",199
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","18-24",109
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","40-59",7
2023-01,"TRANSITO","MASCULINO","18-24",367
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","25-39",114
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","25-39",350
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","60+",239
2023-01,"TRANSITO","FEMININO","40-59",242
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","25-39",73
2023-01,"TRANSITO","MASCULINO","25-39",663
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","25-39",490
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","40-59",2
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","40-59",72
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","13-17",75
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","18-24",6
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","40-59",28
