work_idx,term_idx,book_id,book_order,book_canonical,collection_available,first_publication_year,year_centered_decade,work_type,is_novel_int,termo_canonico,categoria,ocorrencias,tokens_exposicao,exposure_10k,taxa_por_10k_tokens
1,1,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,sherlock_holmes,personagem,96,43289,4.3289,22.177
1,2,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,dr_watson,personagem,8,43289,4.3289,1.848
1,3,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,professor_moriarty,personagem,0,43289,4.3289,0.0
1,4,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,mycroft_holmes,personagem,0,43289,4.3289,0.0
1,5,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,inspector_lestrade,personagem,47,43289,4.3289,10.857
1,6,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,irene_adler,personagem,0,43289,4.3289,0.0
1,7,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,mrs_hudson,personagem,0,43289,4.3289,0.0
1,8,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,baker_street,lugar,6,43289,4.3289,1.386
1,9,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,london,lugar,14,43289,4.3289,3.234
1,10,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,deduction,tema,4,43289,4.3289,0.924
1,11,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,evidence,tema,6,43289,4.3289,1.386
1,12,B001,1,A Study in Scarlet,Novel,1887,-1.1583333333333257,novel,1,crime,tema,26,43289,4.3289,6.006
2,1,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,sherlock_holmes,personagem,136,43050,4.305,31.591
2,2,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,dr_watson,personagem,24,43050,4.305,5.575
2,3,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,professor_moriarty,personagem,0,43050,4.305,0.0
2,4,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,mycroft_holmes,personagem,0,43050,4.305,0.0
2,5,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,inspector_lestrade,personagem,1,43050,4.305,0.232
2,6,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,irene_adler,personagem,0,43050,4.305,0.0
2,7,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,mrs_hudson,personagem,6,43050,4.305,1.394
2,8,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,baker_street,lugar,9,43050,4.305,2.091
2,9,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,london,lugar,15,43050,4.305,3.484
2,10,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,deduction,tema,5,43050,4.305,1.161
2,11,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,evidence,tema,4,43050,4.305,0.929
2,12,B002,2,The Sign of the Four,Novel,1890,-0.8583333333333257,novel,1,crime,tema,15,43050,4.305,3.484
3,1,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,sherlock_holmes,personagem,48,8530,0.853,56.272
3,2,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,dr_watson,personagem,6,8530,0.853,7.034
3,3,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,professor_moriarty,personagem,0,8530,0.853,0.0
3,4,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mycroft_holmes,personagem,0,8530,0.853,0.0
3,5,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,inspector_lestrade,personagem,0,8530,0.853,0.0
3,6,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,irene_adler,personagem,11,8530,0.853,12.896
3,7,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mrs_hudson,personagem,0,8530,0.853,0.0
3,8,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,baker_street,lugar,6,8530,0.853,7.034
3,9,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,london,lugar,3,8530,0.853,3.517
3,10,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,deduction,tema,2,8530,0.853,2.345
3,11,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,evidence,tema,0,8530,0.853,0.0
3,12,B003,3,A Scandal in Bohemia,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,crime,tema,3,8530,0.853,3.517
4,1,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,sherlock_holmes,personagem,53,9100,0.91,58.242
4,2,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,dr_watson,personagem,10,9100,0.91,10.989
4,3,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,professor_moriarty,personagem,0,9100,0.91,0.0
4,4,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mycroft_holmes,personagem,0,9100,0.91,0.0
4,5,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,inspector_lestrade,personagem,0,9100,0.91,0.0
4,6,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,irene_adler,personagem,0,9100,0.91,0.0
4,7,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mrs_hudson,personagem,0,9100,0.91,0.0
4,8,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,baker_street,lugar,3,9100,0.91,3.297
4,9,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,london,lugar,7,9100,0.91,7.692
4,10,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,deduction,tema,0,9100,0.91,0.0
4,11,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,evidence,tema,0,9100,0.91,0.0
4,12,B004,4,The Red-Headed League,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,crime,tema,9,9100,0.91,9.89
5,1,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,sherlock_holmes,personagem,46,6978,0.6978,65.921
5,2,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,dr_watson,personagem,4,6978,0.6978,5.732
5,3,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,professor_moriarty,personagem,0,6978,0.6978,0.0
5,4,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mycroft_holmes,personagem,0,6978,0.6978,0.0
5,5,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,inspector_lestrade,personagem,0,6978,0.6978,0.0
5,6,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,irene_adler,personagem,2,6978,0.6978,2.866
5,7,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,mrs_hudson,personagem,0,6978,0.6978,0.0
5,8,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,baker_street,lugar,2,6978,0.6978,2.866
5,9,B005,5,A Case of Identity,The Adventures of Sherlock Holmes,1891,-0.7583333333333258,short_story,0,london,lugar,1,6978,0.6978,1.433
