termo_canonico,obra_1,obra_2,P_rate_obra1_maior_obra2,diff_rate_median,diff_rate_hdi89_low,diff_rate_hdi89_high,rate_ratio_median,rate_ratio_hdi89_low,rate_ratio_hdi89_high,classificacao_e09,recomendacao_comunicacao
sherlock_holmes,The Adventure of the Dying Detective,The Adventure of the Second Stain,0.6428333333333334,5.469118858661652,-16.932945892901657,28.43185718120316,1.0686879574335246,0.7851126527380506,1.3667487040062472,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
dr_watson,The Adventure of the Dying Detective,The Adventure of the Red Circle,0.9993333333333332,37.413411102035184,18.558352810856228,57.78243769351054,2.088417640637566,1.349362674954654,2.905069817470588,forte_para_comunicacao,"pode ser comunicado como contraste forte, com intervalo"
professor_moriarty,The Final Problem,The Adventure of the Empty House,0.9255,10.036449777516378,-1.8650942135392548,21.10069666168711,1.638748518439631,0.8469578966514156,2.6694459358893345,forte_mas_condicional,não comunicar como ranking fechado; apresentar como disputa com incerteza
mycroft_holmes,The Greek Interpreter,The Adventure of the Bruce-Partington Plans,0.7305,4.841215136664573,-8.223805720715479,18.03850569009802,1.1966560629025826,0.6512076374339077,1.7681210124307665,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
inspector_lestrade,The Adventure of the Norwood Builder,The Adventure of the Six Napoleons,0.9315,15.312338176327051,-2.0035871303296986,30.8580492091694,1.3982396832082595,0.9434101391515924,1.957053212137528,forte_mas_condicional,não comunicar como ranking fechado; apresentar como disputa com incerteza
irene_adler,A Scandal in Bohemia,A Case of Identity,0.9973333333333332,9.22256709391928,3.36858410334734,16.02917498596379,8.284259403589555,0.7002489892325517,33.1061014967178,forte_para_comunicacao,"pode ser comunicado como contraste forte, com intervalo"
mrs_hudson,The Adventure of the Empty House,The Adventure of the Dying Detective,0.565,0.5056561048417674,-5.212294094941088,5.840561187560389,1.1232371625827833,0.1398508068738316,2.851035567525401,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
baker_street,A Scandal in Bohemia,The Final Problem,0.5516666666666666,0.1208274102062163,-1.692886911123753,2.1971847784543104,1.0382712472154805,0.5178042185498838,1.8292476227738983,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
london,The Adventure of the Bruce-Partington Plans,The Adventure of the Six Napoleons,0.5341666666666667,0.4907861468147132,-9.433689772788284,9.34513924036836,1.027089628297546,0.5741183961530735,1.5824738336274378,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
deduction,A Scandal in Bohemia,The Sign of the Four,0.553,0.0635883736401634,-0.7903441489902512,1.0756283933691957,1.0896600588721186,0.193195013642512,2.357753775092692,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
evidence,The Adventure of the Norwood Builder,The Adventure of the Empty House,0.9391666666666668,4.976735290603085,-0.4953236234816875,10.785746871974457,2.147710772895336,0.6994817628520195,4.203974690176684,forte_mas_condicional,não comunicar como ranking fechado; apresentar como disputa com incerteza
crime,The Adventure of the Norwood Builder,The Final Problem,0.7728333333333334,3.838647033454388,-5.154487584790077,12.199234537886127,1.2976697081822224,0.6229576535391712,2.129840702222626,fraco/indeterminado,não comunicar como ranking fechado; apresentar como disputa com incerteza
